epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.69163,1.69603,3.48811,1.43917,0.05609,0.96992,0.13104,0.07581,1.04166,3.06979,0.98679,0.0001,0.0001,0.0001
2,10.1736,1.17182,2.62687,1.05718,0.05754,0.99499,0.21989,0.13669,0.91064,2.82897,0.90046,0.000215644,0.000215644,0.000215644
3,13.2976,1.06156,1.22699,0.97331,0.942,0.88972,0.9441,0.65362,0.9824,2.3108,0.91144,0.000326536,0.000326536,0.000326536
4,16.2764,1.00127,0.86092,0.94303,0.99176,0.60321,0.97537,0.69246,1.00314,2.01779,0.90544,0.000432676,0.000432676,0.000432676
5,17.9725,0.97701,0.74475,0.93877,0.99157,0.84211,0.97831,0.74012,0.9448,1.69722,0.8907,0.000534064,0.000534064,0.000534064
6,21.0763,0.95979,0.69593,0.96629,0.98669,0.92911,0.98205,0.74256,0.94466,1.43627,0.91146,0.0006307,0.0006307,0.0006307
7,24.1339,0.97788,0.68705,0.96741,0.99214,0.94849,0.9836,0.6993,1.02249,1.33219,0.96273,0.000722584,0.000722584,0.000722584
8,26.8125,0.93069,0.65264,0.93855,0.99482,0.96234,0.9842,0.74339,0.94498,1.19558,0.91613,0.000809716,0.000809716,0.000809716
9,29.8296,0.90156,0.64538,0.94298,0.98746,0.98681,0.98976,0.75622,0.90419,0.85929,0.89944,0.000892096,0.000892096,0.000892096
10,32.7766,0.8908,0.62769,0.93267,0.9844,0.98997,0.99349,0.74961,0.9004,0.78793,0.90794,0.000969724,0.000969724,0.000969724
11,35.9258,0.89408,0.62428,0.94727,0.98258,0.98974,0.99344,0.748,0.90889,0.76229,0.90893,0.0010426,0.0010426,0.0010426
12,38.606,0.86881,0.58605,0.92781,0.97958,0.98997,0.99274,0.75751,0.88098,0.72225,0.90673,0.00111072,0.00111072,0.00111072
13,41.683,0.89849,0.58982,0.93452,0.97462,0.98997,0.99254,0.72228,0.95278,0.72886,0.92337,0.0011741,0.0011741,0.0011741
14,44.5824,0.93554,0.59205,0.93767,0.97406,0.98997,0.99181,0.75331,0.86454,0.72006,0.89362,0.00123272,0.00123272,0.00123272
15,45.919,0.87764,0.58977,0.94902,0.9751,0.99248,0.99197,0.74754,0.90087,0.69109,0.92772,0.00128658,0.00128658,0.00128658
16,48.7032,0.8666,0.57587,0.93242,0.98039,0.98246,0.99091,0.72673,0.94137,0.63795,0.93003,0.0013357,0.0013357,0.0013357
